         35172065 function calls (35169339 primitive calls) in 23.064 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.002    0.000 pkg_resources.py:2335(_get_metadata)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       40    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
      424    0.000    0.000    0.000    0.000 logs.py:93(logOnFail)
      138    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
      268    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.002    0.002 GL_1_2.py:1(<module>)
      116    0.000    0.000    0.001    0.000 ntpath.py:189(splitext)
       37    0.000    0.000    0.009    0.000 sre_compile.py:480(_code)
        1    0.000    0.000    0.001    0.001 glunurbs.py:6(<module>)
       52    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 vertex_type_2_10_10_10_rev.py:1(<module>)
        1    0.000    0.000    0.002    0.002 annotations.py:4(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       37    0.000    0.000    0.000    0.000 {_sre.compile}
        3    0.000    0.000    0.000    0.000 {nt.putenv}
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 imaging.py:1(<module>)
      911    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:2(<module>)
        1    0.000    0.000    0.000    0.000 strings.py:2(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
      137    0.000    0.000    0.000    0.000 {max}
       13    0.000    0.000    0.001    0.000 baseplatform.py:261(copyBaseFunction)
       62    0.000    0.000    0.001    0.000 ntpath.py:460(abspath)
        1    0.000    0.000    0.000    0.000 core.py:767(_DomainSafeDivide)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
      131    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
      160    0.000    0.000    0.000    0.000 test.py:189(ispaused)
      161    0.000    0.000    0.000    0.000 __init__.py:131(WinFunctionType)
        4    0.000    0.000    0.001    0.000 linecache.py:68(updatecache)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        1    0.000    0.000    0.001    0.001 GL_1_5.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        9    0.000    0.000    0.000    0.000 formathandler.py:68(register)
       93    0.000    0.000    0.004    0.000 GL_2_0.py:6(_f)
        6    0.000    0.000    0.000    0.000 abc.py:85(__new__)
       13    0.000    0.000    0.000    0.000 __init__.py:1032(_fixupParents)
       95    0.000    0.000    0.002    0.000 images.py:364(asWrapper)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      142    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
      151    0.000    0.000    0.000    0.000 converters.py:129(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5997(getdoc)
        1    0.000    0.000    0.012    0.012 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      191    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       21    0.000    0.000    0.000    0.000 baseplatform.py:355(load)
        1    0.000    0.000    0.000    0.000 ctypesparameters.py:2(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       13    0.000    0.000    0.153    0.012 plugins.py:23(importByName)
        1    0.000    0.000    0.000    0.000 images.py:405(TypedImageInputConverter)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
      261    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 pkg_resources.py:494(__iter__)
        1    0.000    0.000    0.002    0.002 framebuffer_object.py:1(<module>)
        3    0.000    0.000    0.001    0.000 traceback.py:78(extract_tb)
       74    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        1    0.000    0.000    0.001    0.001 gpu_shader_fp64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       13    0.000    0.000    0.001    0.000 glunurbs.py:139(_callbackWithType)
      112    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       16    0.000    0.000    0.000    0.000 constants.py:27(_defineType)
      129    0.000    0.000    0.000    0.000 collections.py:212(<genexpr>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.001    0.001 vertex_attrib_binding.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 lazywrapper.py:1(<module>)
       24    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       26    0.000    0.000    0.001    0.000 pkg_resources.py:1804(find_distributions)
       37    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.001    0.001 sampler_objects.py:1(<module>)
      160    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       24    0.000    0.000    0.001    0.000 pkg_resources.py:1310(has_metadata)
       45    0.000    0.000    0.015    0.000 pkg_resources.py:2813(<lambda>)
       45    0.000    0.000    0.003    0.000 GL_1_4.py:6(_f)
      429    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       62    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 latebind.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GL_1_3_images.py:1(<module>)
      169    0.000    0.000    0.000    0.000 glget.py:39(addGLGetConstant)
       14    0.000    0.000    0.000    0.000 __init__.py:1088(__init__)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
       60    0.000    0.000    0.003    0.000 separate_shader_objects.py:6(_f)
        2    0.000    0.000    0.000    0.000 {dir}
       66    0.000    0.000    0.000    0.000 pkg_resources.py:1695(__init__)
       58    0.000    0.000    0.002    0.000 GL_3_0.py:6(_f)
        1    0.000    0.000    0.000    0.000 shader_subroutine.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pkg_resources.py:680(subscribe)
        1    0.000    0.000    0.000    0.000 texture_storage.py:1(<module>)
        1    0.000    0.000    0.001    0.001 viewport_array.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.001    0.001 program_interface_query.py:1(<module>)
       33    0.000    0.000    0.000    0.000 wrapper.py:110(cArgIndex)
        1    0.000    0.000    0.000    0.000 ctypespointers.py:2(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:5(<module>)
        4    0.000    0.000    0.008    0.002 ctypesloader.py:19(loadLibrary)
        1    0.000    0.000    0.000    0.000 texture_storage_multisample.py:1(<module>)
       69    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 extensions.py:5(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        8    0.000    0.000    0.000    0.000 abc.py:147(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 ES3_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
       39    0.000    0.000    0.002    0.000 shader_objects.py:6(_f)
        1    0.000    0.000    0.000    0.000 tess.py:10(GLUtesselator)
       38    0.000    0.000    0.020    0.001 re.py:188(compile)
        1    0.000    0.000    0.000    0.000 vertex_attrib_64bit.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.001    0.001 uniform_buffer_object.py:1(<module>)
      349    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 transform_feedback2.py:1(<module>)
       37    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.008    0.008 win32.py:19(Win32Platform)
        1    0.000    0.000    0.000    0.000 sync.py:1(<module>)
        1    0.000    0.000    0.000    0.000 test.py:174(resize)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      351    0.000    0.000    0.000    0.000 {globals}
       47    0.000    0.000    0.000    0.000 latebind.py:55(__init__)
        1    0.000    0.000    0.000    0.000 nones.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        1    0.000    0.000    0.000    0.000 transform_feedback3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        6    0.000    0.000    0.000    0.000 test.py:192(markedCell)
       50    0.000    0.000    0.000    0.000 pkg_resources.py:1657(__init__)
        3    0.000    0.000    0.000    0.000 traceback.py:27(format_list)
        1    0.000    0.000    0.000    0.000 formathandler.py:4(<module>)
       38    0.000    0.000    0.002    0.000 vertex_type_2_10_10_10_rev.py:6(_f)
        1    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 invalidate_subdata.py:1(<module>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       46    0.000    0.000    0.002    0.000 GL_1_3.py:6(_f)
        1    0.000    0.000    0.000    0.000 glunurbs.py:30(GLUnurbs)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       17    0.000    0.000    0.000    0.000 plugins.py:6(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clear_buffer_object.py:1(<module>)
       35    0.000    0.000    0.000    0.000 images.py:406(__init__)
        9    0.000    0.000    0.000    0.000 arraydatatype.py:80(register)
       45    0.000    0.000    0.000    0.000 pkg_resources.py:688(_added_new)
        1    0.000    0.000    0.000    0.000 GL_2_1.py:1(<module>)
       12    0.000    0.000    0.000    0.000 linecache.py:43(checkcache)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       13    0.000    0.000    0.153    0.012 plugins.py:12(load)
        1    0.000    0.000    0.000    0.000 ES2_compatibility.py:1(<module>)
       62    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 copy_buffer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_multisample.py:1(<module>)
       37    0.000    0.000    0.000    0.000 wrapper.py:257(setStoreValues)
       13    0.000    0.000    0.000    0.000 pkg_resources.py:1982(normalize_path)
        1    0.000    0.000    0.000    0.000 blend_func_extended.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GL_3_1.py:1(<module>)
        1    0.000    0.000    0.107    0.107 formathandler.py:24(loadAll)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
        1    0.000    0.000    0.000    0.000 wrapper.py:313(finaliseCall)
        1    0.000    0.000    0.000    0.000 GL_4_0.py:1(<module>)
       38    0.000    0.000    0.001    0.000 GL_1_2.py:6(_f)
        1    0.000    0.000    0.000    0.000 texture_buffer_range.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shader_image_load_store.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compute_shader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 framebuffer_no_attachments.py:1(<module>)
       47    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 get_program_binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 projection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 draw_elements_base_vertex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_instance.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vertex_array_object.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pointers.py:197(glDrawElementsTyped)
      111    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 timer_query.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_view.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GL_3_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GL_3_3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi_draw_indirect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy_image.py:1(<module>)
       21    0.000    0.000    0.000    0.000 baseplatform.py:350(__nonzero__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:520(get_platform)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 wrapper.py:277(finalise)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_range.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1915(declare_namespace)
        1    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 tessellation_shader.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       47    0.000    0.000    0.000    0.000 lazywrapper.py:8(lazy)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        6    0.000    0.000    0.004    0.001 string.py:148(substitute)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 draw_indirect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 provoking_vertex.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       19    0.000    0.000    0.001    0.000 GL_1_5.py:6(_f)
        1    0.000    0.000    0.000    0.000 shader_storage_buffer_object.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 random.py:99(seed)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
       37    0.000    0.000    0.000    0.000 arrayhelpers.py:148(__init__)
       18    0.000    0.000    0.001    0.000 gpu_shader_fp64.py:6(_f)
        1    0.000    0.000    0.000    0.000 images.py:42(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
    60/49    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 case.py:129(TestCase)
        6    0.000    0.000    0.000    0.000 abc.py:88(<genexpr>)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 threading.py:180(__init__)
        1    0.000    0.000    0.000    0.000 shader_atomic_counters.py:1(<module>)
      109    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:1(<module>)
      160    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.Surface' objects}
       18    0.000    0.000    0.000    0.000 arrayhelpers.py:207(arraySizeOfFirstType)
        8    0.000    0.000    0.000    0.000 abc.py:104(register)
       20    0.000    0.000    0.001    0.000 framebuffer_object.py:6(_f)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        3    0.000    0.000    0.001    0.000 traceback.py:130(format_exception)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        3    0.000    0.000    0.000    0.000 {nt.getcwd}
        1    0.000    0.000    0.047    0.047 __init__.py:22(_load)
        1    0.000    0.000    0.000    0.000 {function seed at 0x0000000007C13BA8}
        1    0.000    0.000    0.013    0.013 pkg_resources.py:423(__init__)
       12    0.000    0.000    0.001    0.000 vertex_attrib_binding.py:6(_f)
        1    0.000    0.000    0.000    0.000 arraydatatype.py:97(ArrayDatatype)
       69    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        4    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       52    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       14    0.000    0.000    0.001    0.000 sampler_objects.py:6(_f)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.000    0.000 GL_4_3.py:1(<module>)
       10    0.000    0.000    0.000    0.000 debug.py:6(_f)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:1(<module>)
       12    0.000    0.000    0.001    0.000 linecache.py:33(getlines)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000   22.687   22.687 test.py:273(main)
       12    0.000    0.000    0.001    0.000 linecache.py:13(getline)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       14    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
       18    0.000    0.000    0.000    0.000 numpymodule.py:201(lookupDtype)
       39    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
      111    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        4    0.000    0.000    0.000    0.000 os.py:444(get)
        1    0.000    0.000    0.000    0.000 __init__.py:112(_add2path)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 compressed_texture_pixel_storage.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 occlusion_query2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 explicit_attrib_location.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GL_4_2.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        1    0.000    0.000    0.000    0.000 contextdata.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GL_4_1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 texture_swizzle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 texture_cube_map_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        1    0.000    0.000    0.000    0.000 gpu_shader5.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       46    0.000    0.000    0.000    0.000 {imp.acquire_lock}
       23    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 texture_gather.py:1(<module>)
       46    0.000    0.000    0.000    0.000 {imp.release_lock}
        1    0.000    0.000    0.000    0.000 texture_rgb10_a2ui.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 collections.py:20(OrderedDict)
       14    0.000    0.000    0.000    0.000 __init__.py:574(__init__)
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:1(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
       13    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        3    0.000    0.000    0.000    0.000 traceback.py:147(format_exception_only)
      109    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       15    0.000    0.000    0.000    0.000 __init__.py:941(append)
        1    0.000    0.000    0.000    0.000 debug_group.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_object_rgb32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 debug_label.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_query_lod.py:1(<module>)
       20    0.000    0.000    0.000    0.000 collections.py:229(<genexpr>)
        2    0.000    0.000    0.000    0.000 wrapper.py:240(setCResolver)
        1    0.000    0.000    0.000    0.000 glustruct.py:5(GLUStruct)
        1    0.000    0.000    0.000    0.000 _configflags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Resolution)
       10    0.000    0.000    0.000    0.000 vertex_attrib_64bit.py:6(_f)
        6    0.000    0.000    0.000    0.000 program_interface_query.py:6(_f)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2202(Distribution)
        1    0.000    0.000    0.000    0.000 shader_bit_encoding.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 debug_output2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plugins.py:35(match)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
       13    0.000    0.000    0.000    0.000 images.py:386(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1425(_get)
        1    0.000    0.000    0.000    0.000 shader_precision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2777(_initialize)
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:1(<module>)
        3    0.000    0.000    0.001    0.000 traceback.py:237(format_exc)
        1    0.000    0.000    0.000    0.000 zipfile.py:624(ZipFile)
        1    0.000    0.000    0.000    0.000 threading.py:426(__init__)
        1    0.000    0.000    0.000    0.000 vbo.py:32(<module>)
        6    0.000    0.000    0.000    0.000 texture_storage.py:6(_f)
        3    0.000    0.000    0.000    0.000 os.py:419(__setitem__)
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
       10    0.000    0.000    0.000    0.000 viewport_array.py:6(_f)
        1    0.000    0.000    0.000    0.000 threading.py:414(Thread)
        1    0.000    0.000    0.000    0.000 lists.py:30(ListHandler)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       21    0.000    0.000    0.000    0.000 pkg_resources.py:1660(has_metadata)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 util.py:4(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
       22    0.000    0.000    0.000    0.000 pkg_resources.py:2723(cls)
       14    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        3    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 __init__.py:1073(Logger)
        7    0.000    0.000    0.000    0.000 sync.py:6(_f)
        1    0.000    0.000    0.000    0.000 _bytes.py:20(<module>)
        1    0.000    0.000    0.000    0.000 test.py:63(Environment)
        1    0.000    0.000    0.000    0.000 baseplatform.py:46(BasePlatform)
       18    0.000    0.000    0.000    0.000 arraydatatype.py:109(getRegistry)
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:13(CtypesArrayHandler)
        1    0.000    0.000    0.000    0.000 formathandler.py:8(FormatHandler)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        8    0.000    0.000    0.000    0.000 shader_subroutine.py:6(_f)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        6    0.000    0.000    0.000    0.000 invalidate_subdata.py:6(_f)
        7    0.000    0.000    0.000    0.000 transform_feedback2.py:6(_f)
        1    0.000    0.000    0.000    0.000 platform.py:1010(architecture)
        1    0.000    0.000    0.000    0.000 numpymodule.py:66(NumpyHandler)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:258(get_build_platform)
        5    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
        1    0.000    0.000    0.000    0.000 plugins.py:3(Plugin)
        7    0.000    0.000    0.000    0.000 uniform_buffer_object.py:6(_f)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:637(Handler)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 threading.py:742(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1317(isEnabledFor)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:96(_declare_state)
        6    0.000    0.000    0.000    0.000 images.py:545(compressedImageFunction)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1324(get_metadata_lines)
